CubeSat.ElapsedSecs,GroundStation1.EarthFixed.X,GroundStation1.EarthFixed.Y,GroundStation1.EarthFixed.Z,Sun.EarthFixed.X,Sun.EarthFixed.Y,Sun.EarthFixed.Z,CubeSat.EarthFixed.X,CubeSat.EarthFixed.Y,CubeSat.EarthFixed.Z,CubeSat.Earth.BetaAngle,CubeSat.EulerAngle1,CubeSat.EulerAngle2,CubeSat.EulerAngle3,CubeSat.EarthFixed.VX,CubeSat.EarthFixed.VY,CubeSat.EarthFixed.VZ
1819.012437632773,-633.1672917014703,-5113.638504724578,3759.554502447771,142551456.6719774,4349257.695925725,52548455.44130944,5301.507855976093,-32.03156400595827,4598.985520439934,-18.59722294398178,-60.55872857821153,40.98328595692118,110.4077855340929,1.766634184949437,6.662577240758258,-1.996778042348019
1915.160160628147,-633.1672917014706,-5113.638504724579,3759.554502447771,142578574.4839138,3352462.420804483,52547894.92286339,5447.485273845299,606.5201479253343,4382.821540712768,-18.5962029261037,-53.44833712965741,38.69738632417747,114.9746033656428,1.267041075562148,6.609579430502172,-2.495754909615957
2011.272201861721,-633.1672917014697,-5113.638504724576,3759.554502447771,142598716.0681596,2355870.567210306,52547334.60007579,5544.650546832085,1236.711953290187,4120.015685267888,-18.59592506150039,-46.81676927374617,36.00912666231764,119.0089108905646,0.752773843535793,6.493727935332803,-2.968156510328598
2107.348100852687,-633.1672917014713,-5113.638504724577,3759.554502447771,142611888.1330769,1359535.751860774,52546774.47573835,5591.848013090809,1852.571085925321,3813.401242013327,-18.59630443589398,-40.65042181585318,32.98109163469233,122.5109927149962,0.2284011620369626,6.316431279731231,-3.408957015746846
2203.395098622423,-633.1672917014716,-5113.638504724581,3759.554502447772,142618098.0784681,363431.6159641562,52546214.50774112,5588.367441463013,2448.342089206074,3466.246680221636,-18.59722797824383,-34.91235230228575,29.6708126706859,125.5031380736376,-0.3014135855768324,6.079662485246827,-3.813495209957132
2299.418200738728,-633.1672917014688,-5113.638504724578,3759.55450244777,142617351.6427625,-632445.120124978,52545654.66700344,5533.942407674395,3018.473262746622,3082.247804938824,-18.59856048127207,-29.55315904021613,26.12951594634082,128.0187432553459,-0.8318987365697571,5.785950228251557,-4.177473533902767
2395.418480923399,-633.1672917014699,-5113.638504724578,3759.554502447771,142609653.9100109,-1628057.036069618,52545094.94736623,5428.765182395288,3557.660130827654,2665.502327378736,-18.60015039704042,-24.51831186027069,22.40200213228674,130.0947170000937,-1.358205762370537,5.438368602561337,-4.497002809621742
2491.389897291083,-633.1672917014694,-5113.638504724576,3759.554502447771,142595011.3338907,-2623292.995003469,52544535.38415743,5273.505808170619,4060.884884534149,2220.488902928103,-18.60183551940093,-19.75278574596499,18.5273386334772,131.766601740396,-1.875437165625666,5.040532812491165,-4.768646223696618
2587.328343547415,-633.167291701471,-5113.638504724577,3759.554502447771,142573431.9477532,-3618062.038661254,52543976.00142353,5069.306943960129,4523.520454553391,1751.982695281268,-18.60344974241895,-15.202992002947,14.53939646229618,133.0659578401124,-2.378745376599267,4.596536854896842,-4.989496687329579
2683.234547975007,-633.167291701469,-5113.638504724577,3759.554502447772,142544923.6953601,-4612323.450907225,52543416.79501744,4817.763550077614,4941.383735456247,1264.984383912732,-18.60483096958189,-10.81766993727493,10.46770130929216,134.018860657034,-2.863396397010469,4.110890191516487,-5.157212268750752
2779.120158380829,-633.1672917014707,-5113.638504724577,3759.554502447772,142509490.2128573,-5606149.779439286,52542857.69712557,4520.879380330875,5310.785197240435,764.6287611521462,-18.60582924362919,-6.547730533030523,6.338147426188516,134.6451913831952,-3.324843035156706,3.588424985920652,-5.270036822923927
2874.998802167829,-633.1672917014706,-5113.638504724579,3759.554502447772,142467131.1564999,-6599634.046414005,52542298.62838328,4181.061067776567,5628.505054443865,256.172964392819,-18.60631304325693,-2.346209512777332,2.174323246170339,134.9582331052174,-3.758716975960112,3.034279561930783,-5.326785536648091
2970.879719441291,-633.1672917014698,-5113.638504724578,3759.554502447771,142417844.9932467,-7592823.716505006,52541739.53500214,3801.123845571948,5891.797290116875,-255.0211474366585,-18.60617306385326,1.832252397541276,-2.00129620933365,134.9646286268934,-4.160840724490467,2.453884996138112,-5.326852602676942
3066.76450726809,-633.1672917014705,-5113.638504724578,3759.554502447771,142361632.613837,-8585687.014296418,52541180.40775783,3384.294925353271,6098.417501200617,-763.5221788866776,-18.60532406449551,6.032197302391212,-6.166337728474767,134.6644824119437,-4.527262233016633,1.852939320242807,-5.270232435995678
3162.650240573566,-633.16729170147,-5113.638504724577,3759.554502447772,142298497.9256428,-9578145.350409828,52540621.26379555,2934.186734162432,6246.667508722839,-1263.90341281981,-18.60370650968188,10.29841704813194,-10.29783146988684,134.0514564333459,-4.854318701000765,1.237337975902879,-5.157537191525025
3258.534599351697,-633.1672917014711,-5113.638504724579,3759.554502447772,142228445.5534491,-10570126.46146664,52540062.11673292,2454.746467201729,6335.425811747689,-1750.82998379499,-18.60128940993174,14.67704742656425,-14.37159698752602,133.1127765946076,-5.13869906949338,0.6130816530979668,-4.989992578190878
3354.42558528157,-633.1672917014706,-5113.638504724579,3759.554502447771,142151472.4703089,-11561664.8551765,52539502.91999593,1950.167036920612,6364.153143668357,-2219.163850853491,-18.59807398725385,19.21677596844542,-18.36176565438582,131.8291196837524,-5.377500869141376,-0.01385159133859701,-4.769396974164777
3450.33481316641,-633.1672917014703,-5113.638504724578,3759.554502447771,142067570.3875507,-12552832.20173892,52538943.60593569,1424.875409852649,6332.865767800126,-2663.976808516514,-18.59409688224646,23.96908339779196,-22.2395159791579,130.1747679733419,-5.568224222607817,-0.6375244086199329,-4.498093461849281
3546.27457925817,-633.1672917014713,-5113.638504724578,3759.554502447772,141976727.3372767,-13543706.90803759,52538384.10292364,883.5099214471736,6242.123874666694,-3080.582161076452,-18.5894303861707,28.98813824830166,-25.97191739215012,128.1182176372573,-5.708783527062465,-1.252076865813128,-4.178944941891613
3642.246163473465,-633.1672917014703,-5113.638504724579,3759.55450244777,141878939.7708267,-14534253.34350269,52537824.40357435,330.9507670053416,6093.042615585048,-3464.534342899714,-18.58417919427235,34.32927530980411,-29.5204639446282,125.6238866987959,-5.797517596194135,-1.851706852360799,-3.8153482750324
3738.248544267844,-633.1672917014711,-5113.638504724579,3759.554502447773,141774206.7077544,-15524412.0499952,52537264.5139185,-227.7670312315667,5887.290104970109,-3811.723326012209,-18.57847320259461,40.04702745513667,-32.84056861002015,122.6548326013129,-5.833236691213465,-2.43078434620836,-3.411182667534369
3800.319659826346,-633.167291701469,-5113.638504724577,3759.554502447771,141702812.1136152,-16164208.86344058,52536902.50707798,-589.7891863571147,5725.149806473086,-4014.818475959547,-18.57461151128006,43.96693478691575,-34.84138558765505,120.4669688840823,-5.827766252867127,-2.79161826835985,-3.130353081981514
3829.373437876347,-633.1672915762844,-5113.63850462038,3759.554502610583,141668402.1727461,-16463568.13798873,52536733.06013738,-758.9701569371667,5641.642732644349,-4103.794449084791,-18.57277193809701,45.86590479349182,-35.73342994598259,119.3679376895516,-5.817467351445015,-2.956369194927923,-2.994068028589191
3845.450651203282,-633.1672915068245,-5113.638504562935,3759.554502700412,141649089.2557688,-16629190.34295636,52536639.29447775,-852.43797840103,5593.388245451773,-4151.31557338094,-18.57174755894974,46.93481416675515,-36.21400779044208,118.7389370727359,-5.809646618256339,-3.046326349147431,-2.917397853730602
3853.076736058574,-633.1672914738335,-5113.638504535741,3759.554502742957,141639860.636357,-16707743.87245883,52536594.81745794,-896.7268909803302,5569.995053280016,-4173.424188173982,-18.5712603421433,47.44640152462294,-36.43860839827535,118.4353575295547,-5.805408488208607,-3.088686592695536,-2.880726042419094
3862.005178816617,-633.1672917014711,-5113.638504724578,3759.554502447771,141629000.6260695,-16799706.00763383,52536542.74471342,-948.5364160278908,5542.197434648225,-4198.952021791999,-18.57068900991542,48.04910732056225,-36.6987652999381,118.0756560857944,-5.80001463759401,-3.138022979015063,-2.837547452015598
3866.053253319114,-633.1672916839924,-5113.6385047101,3759.554502470406,141624057.1237724,-16841398.47741709,52536519.13537615,-972.0100787587398,5529.449377001648,-4210.398845376633,-18.570429688455,48.3237064593276,-36.8157103949483,117.9110486185092,-5.79741564315245,-3.160298969924876,-2.81788493718821
3869.761346513405,-633.1672916679751,-5113.638504696847,3759.554502491131,141619518.035659,-16879588.0898258,52536497.50887465,-993.5028923845756,5517.692941004515,-4220.814359832702,-18.57019199955039,48.57597755422552,-36.92227649784773,117.7594317728541,-5.79495092465145,-3.180652917533846,-2.799827305728768
3880.591852543876,-633.1672916211538,-5113.638504658185,3759.554502551602,141606201.4167294,-16991124.34135291,52536434.34263932,-1056.224288236408,5482.924076627291,-4250.851267138854,-18.56949704946334,49.31683614020164,-37.23044718731991,117.3120233231106,-5.787292286523495,-3.239819411036851,-2.746833260487507
3915.745884168427,-633.1672914687672,-5113.638504533179,3759.554502747294,141562372.619688,-17353079.82239266,52536229.31456556,-1259.172234515077,5365.694573105327,-4344.357058416901,-18.56723650791693,51.76316558055365,-38.19810603308247,115.8128604908317,-5.757718928634909,-3.428889248558125,-2.572314965164071
3978.327203029767,-633.1672917014687,-5113.638504724579,3759.554502447773,141482059.1274367,-17997152.84445981,52535864.31947001,-1617.412702008885,5140.867168695887,-4495.394150246717,-18.56321456080887,56.27645837465299,-39.78945214940697,112.9672073553527,-5.687295387383429,-3.753639494886917,-2.252787565585467
4069.938818563242,-633.1672917014697,-5113.638504724575,3759.554502447771,141359205.5455773,-18939325.35881941,52535330.00205155,-2132.216106167895,4776.288616569467,-4679.682624004211,-18.55741524017898,63.24301857814106,-41.78372580686188,108.4054810092921,-5.543526137050528,-4.199486540846178,-1.767251512276143
4165.54616560461,-633.1672917014696,-5113.638504724576,3759.554502447771,141224303.0685523,-19921697.2462741,52534772.36982995,-2653.032886076292,4354.15165916875,-4823.688355542727,-18.55161151962956,70.93254239311098,-43.38798231802281,103.1897273014406,-5.342880772411318,-4.623879396734893,-1.242574015902941
4261.648320488166,-633.1672917014696,-5113.638504724577,3759.554502447772,141081822.445603,-20908185.43530758,52534211.84140088,-3154.773069298358,3891.106059934443,-4917.217839394785,-18.5461849403652,79.00821844767432,-44.45549961331832,97.57496917173692,-5.090632998367701,-5.004718884933792,-0.7021875487413833
4357.822659274098,-633.1672917014698,-5113.638504724577,3759.554502447772,140932336.240971,-21894394.95190456,52533650.88176839,-3630.260432092123,3393.412324791045,-4958.42890263186,-18.54130126657075,87.30513146091086,-44.93611678472232,91.72624865745847,-4.789465158271947,-5.336656172271498,-0.1540839623320178
4454.015416977927,-633.16729170147,-5113.638504724578,3759.554502447773,140775925.5665983,-22879724.78132119,52533089.80460005,-4074.618565566755,2866.171331801577,-4946.800247411717,-18.53707918411826,95.65340194372088,-44.8093456431347,85.82303325508896,-4.441962398400378,-5.616644406612616,0.395626366445761
4550.220145925414,-633.167291701469,-5113.638504724579,3759.554502447773,140612605.2743343,-23864060.14684404,52532528.64758383,-4483.48760771131,2314.523137987423,-4882.443562656274,-18.53360539459345,103.8787843180187,-44.08047187165067,80.05033016978487,-4.051054862215049,-5.842352993468829,0.9410797456123189
4646.434680442326,-633.1672917014691,-5113.638504724578,3759.554502447771,140442384.6770869,-24847330.32322223,52531967.42343463,-4852.8316866354,1743.787476427161,-4766.037287385956,-18.53093361297454,111.8269108667916,-42.77882103019876,74.57350084371464,-3.620085972519124,-6.011992444437436,1.476482041592072
4742.656970524695,-633.1672917014707,-5113.638504724576,3759.554502447773,140265273.8322039,-25829465.89742617,52531406.14418761,-5178.95789522234,1159.432701859913,-4598.816311030218,-18.52908282302902,119.3837182727704,-40.95252316758673,69.51790251012648,-3.152798193984005,-6.124310616154825,1.996144444072475
4838.880728487857,-633.1672917014699,-5113.638504724577,3759.554502447772,140081291.977311,-26810354.42620637,52530844.84660353,-5458.54214320323,567.0498645412523,-4382.56967905191,-18.52803651062256,126.4832911314678,-38.66123400103131,64.96111180476674,-2.653326769738384,-6.178599005311282,2.494519823357031
